date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:46:17	40501/40501	---M--	200	added ('OK')	image/jpeg	etag:%22613f365c-9e35%22	https://rstheme.com/products/html/braintech/assets/images/project/style6/1.jpg	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/project/style6/1.jpg	(from https://rstheme.com/products/html/braintech/index13.html)
02:46:17	728931/728931	---M--	200	added ('OK')	image/png	etag:%22613f365c-b1f63%22	https://rstheme.com/products/html/braintech/assets/images/banner/style4/image.png	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/banner/style4/image.png	(from https://rstheme.com/products/html/braintech/index13.html)
02:46:18	198425/198425	---M--	200	added ('OK')	image/png	etag:%22613f365c-30719%22	https://rstheme.com/products/html/braintech/assets/images/about/style3/brand-visual.png	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/about/style3/brand-visual.png	(from https://rstheme.com/products/html/braintech/index13.html)
02:46:18	37690/37690	---M--	200	added ('OK')	image/jpeg	etag:%22613f365c-933a%22	https://rstheme.com/products/html/braintech/assets/images/project/style6/2.jpg	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/project/style6/2.jpg	(from https://rstheme.com/products/html/braintech/index13.html)
02:46:19	64223/64223	---M--	200	added ('OK')	image/jpeg	etag:%22613f365c-fadf%22	https://rstheme.com/products/html/braintech/assets/images/project/style6/3.jpg	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/project/style6/3.jpg	(from https://rstheme.com/products/html/braintech/index13.html)
02:46:20	60641/60641	---M--	200	added ('OK')	image/jpeg	etag:%22613f365c-ece1%22	https://rstheme.com/products/html/braintech/assets/images/project/style6/4.jpg	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/project/style6/4.jpg	(from https://rstheme.com/products/html/braintech/index13.html)
02:46:20	1612/1612	---M--	200	added ('OK')	image/png	etag:%22613f365d-64c%22	https://rstheme.com/products/html/braintech/assets/images/testimonial/style2/2.png	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/testimonial/style2/2.png	(from https://rstheme.com/products/html/braintech/index13.html)
02:46:20	1782/1782	---M--	200	added ('OK')	image/png	etag:%22613f365c-6f6%22	https://rstheme.com/products/html/braintech/assets/images/logo-orange.png	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/logo-orange.png	(from https://rstheme.com/products/html/braintech/index14.html)
02:46:21	99070/99070	---M--	200	added ('OK')	image/jpeg	etag:%22613f365c-182fe%22	https://rstheme.com/products/html/braintech/assets/images/about/about-16.jpg	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/about/about-16.jpg	(from https://rstheme.com/products/html/braintech/index14.html)
02:46:21	1084/1084	---M--	200	added ('OK')	image/png	etag:%22613f365c-43c%22	https://rstheme.com/products/html/braintech/assets/images/icon.png	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/icon.png	(from https://rstheme.com/products/html/braintech/index14.html)
02:46:21	2222/2222	---M--	200	added ('OK')	image/png	etag:%22613f365c-8ae%22	https://rstheme.com/products/html/braintech/assets/images/shape.png	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/shape.png	(from https://rstheme.com/products/html/braintech/index14.html)
02:46:22	932/932	---M--	200	added ('OK')	image/png	etag:%22613f365c-3a4%22	https://rstheme.com/products/html/braintech/assets/images/services/style11/icons/1.png	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/services/style11/icons/1.png	(from https://rstheme.com/products/html/braintech/index14.html)
02:46:22	86306/86306	---M--	200	added ('OK')	image/jpeg	etag:%22613f365c-15122%22	https://rstheme.com/products/html/braintech/assets/images/services/style11/1.jpg	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/services/style11/1.jpg	(from https://rstheme.com/products/html/braintech/index14.html)
02:46:23	61558/61558	---M--	200	added ('OK')	image/jpeg	etag:%22613f365c-f076%22	https://rstheme.com/products/html/braintech/assets/images/services/style11/2.jpg	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/services/style11/2.jpg	(from https://rstheme.com/products/html/braintech/index14.html)
02:46:24	2654/2654	---M--	200	added ('OK')	image/png	etag:%22613f365c-a5e%22	https://rstheme.com/products/html/braintech/assets/images/services/style11/icons/2.png	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/services/style11/icons/2.png	(from https://rstheme.com/products/html/braintech/index14.html)
02:46:24	1680/1680	---M--	200	added ('OK')	image/png	etag:%22613f365c-690%22	https://rstheme.com/products/html/braintech/assets/images/services/style11/icons/3.png	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/services/style11/icons/3.png	(from https://rstheme.com/products/html/braintech/index14.html)
02:46:25	82070/82070	---M--	200	added ('OK')	image/jpeg	etag:%22613f365c-14096%22	https://rstheme.com/products/html/braintech/assets/images/services/style11/3.jpg	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/services/style11/3.jpg	(from https://rstheme.com/products/html/braintech/index14.html)
